activity_id,opp_id,type,rep_id,timestamp,duration_min
ACT00122,O00378,Demo,R003,2024-10-22,15
ACT00123,O00630,Meeting,R015,2024-08-17,15
ACT00124,O00461,Email,R011,2024-09-11,60
ACT00125,O00514,Email,R002,2024-04-06,15
ACT00126,O00352,Call,R017,2024-10-23,30
ACT00127,O00041,Email,R023,2024-03-24,60
ACT00128,O00537,Email,R012,2024-01-17,45
ACT00129,O00397,Meeting,R025,2023-12-13,15
ACT00130,O00647,Demo,R003,2023-12-04,15
ACT00131,O00572,Meeting,R010,2023-09-16,30
ACT00132,O00342,Call,R019,2024-11-10,30
ACT00133,O00359,Demo,R021,2024-12-16,60
ACT00134,O00133,Call,R010,2024-07-26,60
ACT00135,O00659,Demo,R005,2024-11-17,15
ACT00136,O00662,Meeting,R017,2024-01-06,15
ACT00137,O00372,Demo,R006,2023-08-08,45
ACT00138,O00785,Meeting,R007,2023-08-20,30
ACT00139,O00159,Call,R010,2023-04-14,15
ACT00140,O00678,Demo,R025,2024-09-24,30
ACT00141,O00612,Meeting,R005,2023-06-16,30
ACT00142,O00710,Email,R024,2024-03-24,15
ACT00143,O00421,Demo,R022,2023-09-01,60
ACT00144,O00626,Demo,R025,2024-04-04,30
ACT00145,O00547,Email,R010,2024-04-25,30
ACT00146,O00377,Meeting,R015,2023-10-16,60
ACT00147,O00515,Meeting,R006,2023-07-24,30
ACT00148,O00257,Call,R021,2024-05-07,45
ACT00149,O00568,Call,R023,2024-06-12,15
ACT00150,O00292,Call,R025,2023-06-14,45
ACT00151,O00461,Email,R014,2023-04-04,30
ACT00152,O00462,Demo,R001,2024-02-29,15
ACT00153,O00406,Demo,R008,2024-01-31,15
ACT00154,O00384,Email,R001,2023-11-23,15
ACT00155,O00732,Demo,R005,2023-05-21,15
ACT00156,O00294,Meeting,R023,2023-05-23,60
ACT00157,O00460,Call,R003,2023-01-20,45
ACT00158,O00221,Email,R018,2024-09-15,60
ACT00159,O00114,Demo,R008,2023-11-05,15
ACT00160,O00049,Email,R014,2024-10-16,60
ACT00161,O00065,Call,R016,2024-09-03,15
ACT00162,O00648,Email,R023,2023-05-28,45
ACT00163,O00440,Call,R020,2023-12-28,30
ACT00164,O00585,Meeting,R006,2024-11-11,15
ACT00165,O00537,Demo,R003,2024-06-22,15
ACT00166,O00400,Meeting,R002,2024-10-12,60
ACT00167,O00383,Demo,R024,2023-01-17,45
ACT00168,O00070,Demo,R008,2024-11-03,15
ACT00169,O00791,Demo,R005,2023-02-15,45
ACT00170,O00560,Demo,R021,2023-06-29,60
ACT00171,O00713,Meeting,R021,2023-07-06,30
ACT00172,O00065,Meeting,R002,2023-10-28,30
ACT00173,O00045,Email,R002,2023-11-20,45
ACT00174,O00528,Meeting,R018,2024-04-29,45
ACT00175,O00038,Email,R010,2024-01-01,15
ACT00176,O00672,Demo,R009,2023-05-08,45
ACT00177,O00448,Meeting,R024,2024-03-26,60
ACT00178,O00348,Email,R016,2024-12-09,60
ACT00179,O00377,Demo,R003,2024-03-10,15
ACT00180,O00441,Email,R018,2023-10-28,45
ACT00181,O00106,Call,R011,2024-11-07,45
ACT00182,O00314,Meeting,R020,2024-03-12,30
ACT00183,O00707,Meeting,R012,2024-04-02,15
ACT00184,O00745,Demo,R020,2024-03-21,45
ACT00185,O00655,Call,R003,2024-11-18,60
ACT00186,O00373,Email,R001,2023-05-27,60
ACT00187,O00036,Email,R003,2023-08-30,45
ACT00188,O00371,Meeting,R019,2023-02-03,30
ACT00189,O00696,Meeting,R012,2024-01-16,60
ACT00190,O00782,Call,R019,2023-05-21,45
ACT00191,O00408,Demo,R021,2023-10-13,30
ACT00192,O00117,Call,R024,2023-07-10,60
ACT00193,O00531,Meeting,R018,2023-05-01,45
ACT00194,O00794,Demo,R023,2024-04-01,30
ACT00195,O00627,Demo,R023,2024-05-17,30
ACT00196,O00126,Email,R003,2024-04-07,30
ACT00197,O00731,Meeting,R003,2024-11-29,45
ACT00198,O00684,Demo,R023,2023-03-08,45
ACT00199,O00308,Email,R023,2024-12-27,30
ACT00200,O00371,Email,R004,2023-07-25,30
ACT00201,O00243,Meeting,R001,2024-01-05,45
ACT00202,O00479,Email,R020,2023-03-30,15
ACT00203,O00317,Meeting,R023,2024-05-05,60
ACT00204,O00788,Meeting,R019,2023-03-17,30
ACT00205,O00325,Call,R015,2024-04-22,45
ACT00206,O00132,Email,R025,2023-05-13,60
ACT00207,O00515,Call,R004,2024-06-14,30
ACT00208,O00312,Email,R006,2023-11-27,30
ACT00209,O00355,Demo,R003,2023-09-14,30
ACT00210,O00651,Demo,R005,2024-10-02,45
ACT00211,O00630,Call,R017,2024-10-18,30
ACT00212,O00607,Email,R006,2024-11-05,45
ACT00213,O00578,Call,R001,2023-03-25,15
ACT00214,O00657,Demo,R021,2023-08-04,60
ACT00215,O00633,Call,R016,2024-10-04,45
ACT00216,O00658,Demo,R016,2023-09-08,60
ACT00217,O00305,Meeting,R003,2024-12-06,15
ACT00218,O00162,Meeting,R014,2024-05-10,60
ACT00219,O00209,Demo,R020,2023-05-28,45
ACT00220,O00736,Demo,R024,2023-12-20,60
ACT00221,O00134,Demo,R017,2024-07-29,15
ACT00222,O00327,Email,R015,2023-05-06,45
ACT00223,O00461,Email,R005,2023-04-10,15
ACT00224,O00298,Meeting,R020,2024-03-04,30
ACT00225,O00164,Demo,R019,2023-11-17,30
ACT00226,O00782,Email,R016,2024-06-11,60
ACT00227,O00511,Demo,R016,2023-01-24,15
ACT00228,O00403,Meeting,R008,2023-08-09,45
ACT00229,O00050,Call,R010,2024-05-21,60
ACT00230,O00293,Call,R004,2024-03-17,30
ACT00231,O00271,Demo,R025,2024-02-17,45
ACT00232,O00047,Meeting,R002,2024-08-06,30
ACT00233,O00372,Demo,R003,2024-01-31,60
ACT00234,O00783,Demo,R020,2024-11-27,15
ACT00235,O00132,Call,R013,2024-01-18,45
ACT00236,O00572,Demo,R025,2023-05-28,30
ACT00237,O00617,Meeting,R017,2023-02-11,15
ACT00238,O00040,Email,R023,2023-12-08,60
ACT00239,O00532,Meeting,R005,2024-09-12,30
ACT00240,O00336,Demo,R006,2024-02-07,45
ACT00241,O00608,Demo,R017,2024-06-05,60
ACT00242,O00726,Demo,R016,2023-01-18,45
ACT00243,O00340,Call,R014,2024-08-20,45
ACT00244,O00743,Call,R020,2024-04-30,45
ACT00245,O00672,Email,R024,2023-02-22,60
ACT00246,O00175,Meeting,R005,2024-11-28,30
ACT00247,O00033,Call,R007,2023-01-20,60
ACT00248,O00322,Meeting,R005,2024-02-27,30
ACT00249,O00421,Meeting,R024,2023-03-05,30
ACT00250,O00532,Email,R018,2023-11-29,60
ACT00251,O00539,Meeting,R011,2023-06-27,60
ACT00252,O00546,Demo,R018,2023-12-29,45
ACT00253,O00625,Meeting,R007,2023-09-10,45
ACT00254,O00572,Demo,R008,2023-11-01,45
ACT00255,O00722,Email,R023,2024-12-22,60
ACT00256,O00325,Meeting,R012,2024-07-27,45
ACT00257,O00295,Call,R019,2024-11-23,60
ACT00258,O00405,Demo,R025,2023-05-30,45
ACT00259,O00044,Demo,R023,2023-03-22,45
ACT00260,O00453,Demo,R024,2024-05-05,30
ACT00261,O00207,Demo,R018,2024-12-13,45
ACT00262,O00141,Call,R020,2024-08-23,30
ACT00263,O00249,Call,R022,2024-06-27,30
ACT00264,O00654,Email,R002,2023-04-13,60
ACT00265,O00339,Meeting,R004,2024-11-28,30
ACT00266,O00006,Email,R014,2024-10-30,60
ACT00267,O00489,Email,R025,2023-10-22,45
ACT00268,O00293,Call,R025,2023-04-02,30
ACT00269,O00548,Call,R006,2024-03-03,30
ACT00270,O00038,Meeting,R016,2023-07-10,45
ACT00271,O00039,Call,R010,2024-08-04,15
ACT00272,O00344,Demo,R015,2024-10-18,60
ACT00273,O00138,Meeting,R009,2023-07-17,15
ACT00274,O00339,Email,R024,2024-04-14,45
ACT00275,O00736,Email,R001,2023-12-12,45
ACT00276,O00582,Email,R006,2024-09-17,60
ACT00277,O00438,Demo,R003,2024-02-15,15
ACT00278,O00190,Email,R016,2023-11-28,30
ACT00279,O00007,Demo,R013,2023-08-30,60
ACT00280,O00772,Demo,R011,2023-11-06,15
ACT00281,O00268,Demo,R023,2023-08-30,15
ACT00282,O00684,Call,R015,2023-11-11,30
ACT00283,O00416,Demo,R023,2023-05-01,45
ACT00284,O00377,Email,R008,2023-05-17,60
ACT00285,O00157,Meeting,R024,2024-09-12,45
ACT00286,O00426,Meeting,R025,2024-07-04,30
ACT00287,O00781,Email,R022,2024-09-02,15
ACT00288,O00539,Meeting,R017,2024-12-21,45
ACT00289,O00080,Call,R002,2024-07-14,30
ACT00290,O00587,Email,R006,2023-12-02,60
ACT00291,O00120,Email,R023,2024-08-20,60
ACT00292,O00094,Meeting,R002,2024-04-09,30
ACT00293,O00526,Meeting,R015,2024-07-31,15
ACT00294,O00573,Meeting,R022,2023-11-12,15
ACT00295,O00406,Demo,R001,2025-08-30,15
ACT00296,O00047,Meeting,R012,2024-12-18,15
ACT00297,O00555,Call,R003,2024-04-28,15
ACT00298,O00294,Meeting,R006,2023-05-19,60
ACT00299,O00384,Meeting,R015,2024-01-22,60
ACT00300,O00083,Email,R021,2023-12-23,15
ACT00301,O00183,Meeting,R017,2023-05-11,30
ACT00302,O00004,Call,R010,2024-04-19,60
ACT00303,O00545,Meeting,R008,2023-09-11,60
ACT00304,O00355,Email,R009,2023-07-13,15
ACT00305,O00033,Meeting,R020,2023-01-17,30
ACT00306,O00212,Call,R004,2024-08-31,15
ACT00307,O00458,Call,R008,2023-02-15,60
ACT00308,O00450,Email,R018,2023-08-11,15
ACT00309,O00144,Demo,R008,2024-08-12,45
ACT00310,O00592,Demo,R008,2023-11-06,30
ACT00311,O00677,Email,R014,2023-11-04,45
ACT00312,O00063,Email,R021,2024-11-26,60
ACT00313,O00570,Meeting,R002,2023-12-19,60
ACT00314,O00538,Demo,R023,2024-03-02,60
ACT00315,O00153,Demo,R013,2023-07-08,60
ACT00316,O00247,Email,R010,2024-12-25,30
ACT00317,O00475,Call,R018,2024-02-27,60
ACT00318,O00571,Email,R013,2023-09-06,45
ACT00319,O00209,Demo,R021,2023-03-22,60
ACT00320,O00380,Call,R018,2023-07-15,15
ACT00321,O00275,Meeting,R022,2024-09-11,15
ACT00322,O00075,Email,R025,2024-08-24,30
ACT00323,O00491,Email,R011,2023-11-07,15
ACT00324,O00217,Email,R024,2023-05-01,60
ACT00325,O00249,Email,R013,2023-09-03,45
ACT00326,O00795,Demo,R013,2024-04-22,45
ACT00327,O00316,Demo,R012,2024-06-09,60
ACT00328,O00478,Call,R024,2024-04-25,45
ACT00329,O00209,Demo,R011,2024-02-28,15
ACT00330,O00577,Email,R024,2023-05-30,15
ACT00331,O00268,Meeting,R010,2023-06-06,30
ACT00332,O00338,Email,R013,2024-08-06,30
ACT00333,O00512,Demo,R009,2024-05-15,60
ACT00334,O00472,Email,R024,2023-12-27,30
ACT00335,O00144,Meeting,R006,2024-07-09,15
ACT00336,O00537,Call,R003,2024-11-15,15
ACT00337,O00783,Call,R014,2023-05-21,30
ACT00338,O00070,Email,R001,2023-08-12,60
ACT00339,O00383,Call,R020,2024-10-15,60
ACT00340,O00676,Meeting,R001,2023-01-07,60
ACT00341,O00013,Call,R017,2023-10-09,45
ACT00342,O00018,Meeting,R006,2023-04-20,15
ACT00343,O00537,Email,R008,2023-07-16,45
ACT00344,O00363,Demo,R013,2023-03-22,45
ACT00345,O00416,Meeting,R019,2023-09-07,30
ACT00346,O00308,Call,R021,2024-10-27,15
ACT00347,O00096,Meeting,R013,2024-01-22,60
ACT00348,O00058,Call,R023,2023-06-25,15
ACT00349,O00512,Meeting,R021,2023-12-06,15
ACT00350,O00541,Call,R008,2023-08-05,60
ACT00351,O00278,Call,R003,2024-12-01,45
ACT00352,O00557,Call,R006,2023-11-19,15
ACT00353,O00213,Email,R025,2024-12-30,60
ACT00354,O00079,Demo,R006,2024-07-31,30
ACT00355,O00581,Meeting,R022,2024-07-07,45
ACT00356,O00394,Email,R023,2023-03-22,45
ACT00357,O00055,Call,R014,2023-08-26,15
ACT00358,O00349,Meeting,R025,2023-12-01,15
ACT00359,O00650,Demo,R015,2024-05-17,30
ACT00360,O00365,Meeting,R014,2023-07-10,60
ACT00361,O00088,Demo,R008,2024-12-31,15
ACT00362,O00085,Demo,R005,2024-01-25,30
ACT00363,O00758,Meeting,R011,2024-01-05,15
ACT00364,O00094,Call,R010,2024-03-31,45
ACT00365,O00780,Demo,R004,2023-05-16,15
ACT00366,O00192,Meeting,R015,2024-07-24,60
ACT00367,O00106,Call,R003,2023-12-29,15
ACT00368,O00612,Demo,R013,2023-01-13,45
ACT00369,O00424,Meeting,R025,2023-03-28,30
ACT00370,O00586,Email,R022,2024-01-25,30
ACT00371,O00143,Demo,R010,2023-10-02,60
ACT00372,O00150,Call,R006,2024-03-21,45
ACT00373,O00432,Demo,R016,2023-03-20,45
ACT00374,O00258,Email,R024,2024-10-02,60
ACT00375,O00609,Email,R015,2023-04-20,30
ACT00376,O00312,Call,R013,2023-12-07,60
ACT00377,O00338,Meeting,R011,2024-03-16,30
ACT00378,O00308,Demo,R020,2024-12-12,30
ACT00379,O00491,Demo,R006,2024-02-12,45
ACT00380,O00299,Meeting,R019,2023-09-06,45
ACT00381,O00386,Demo,R013,2024-01-09,15
ACT00382,O00578,Email,R019,2024-07-12,30
ACT00383,O00699,Call,R024,2024-04-17,30
ACT00384,O00449,Demo,R023,2023-03-12,60
ACT00385,O00690,Meeting,R005,2024-10-10,45
ACT00386,O00248,Demo,R022,2023-06-07,60
ACT00387,O00387,Call,R015,2024-09-04,60
ACT00388,O00597,Meeting,R018,2024-06-02,60
ACT00389,O00557,Call,R012,2024-12-19,15
ACT00390,O00112,Email,R022,2024-11-11,45
ACT00391,O00171,Call,R019,2024-10-22,60
ACT00392,O00771,Demo,R014,2023-04-19,15
ACT00393,O00101,Demo,R008,2024-06-06,30
ACT00394,O00457,Demo,R013,2024-04-19,30
ACT00395,O00354,Call,R016,2023-04-18,45
ACT00396,O00426,Call,R004,2023-05-26,45
ACT00397,O00320,Demo,R015,2023-07-31,60
ACT00398,O00357,Meeting,R004,2024-03-24,60
ACT00399,O00327,Call,R010,2023-02-15,15
ACT00400,O00024,Demo,R021,2023-04-22,30
ACT00401,O00759,Email,R017,2023-06-28,30
ACT00402,O00339,Meeting,R015,2023-08-26,60
ACT00403,O00645,Email,R006,2024-10-17,60
ACT00404,O00406,Call,R024,2024-09-20,30
ACT00405,O00461,Meeting,R013,2023-01-05,30
ACT00406,O00211,Demo,R025,2024-12-21,15
ACT00407,O00592,Call,R018,2023-07-11,45
ACT00408,O00334,Email,R015,2023-04-27,45
ACT00409,O00687,Meeting,R017,2024-10-16,45
ACT00410,O00612,Meeting,R020,2024-02-06,15
ACT00411,O00357,Demo,R015,2024-09-24,30
ACT00412,O00690,Demo,R020,2024-08-27,15
ACT00413,O00689,Email,R011,2023-05-01,30
ACT00414,O00313,Call,R006,2024-01-18,30
ACT00415,O00524,Meeting,R014,2024-09-02,30
ACT00416,O00589,Meeting,R014,2023-07-10,60
ACT00417,O00651,Email,R018,2023-06-20,60
ACT00418,O00296,Email,R006,2023-11-19,60
ACT00419,O00635,Call,R012,2023-01-10,60
ACT00420,O00140,Email,R013,2024-07-29,60
ACT00421,O00419,Meeting,R014,2024-12-28,60
ACT00422,O00501,Email,R003,2024-08-01,15
ACT00423,O00780,Email,R010,2023-02-03,45
ACT00424,O00231,Demo,R006,2024-04-13,60
ACT00425,O00563,Call,R019,2023-04-27,45
ACT00426,O00794,Demo,R018,2023-02-12,60
ACT00427,O00560,Email,R014,2023-04-15,30
ACT00428,O00305,Call,R015,2023-09-27,45
ACT00429,O00090,Meeting,R004,2023-08-31,30
ACT00430,O00756,Demo,R023,2024-09-16,60
ACT00431,O00170,Email,R007,2023-07-31,15
ACT00432,O00584,Demo,R018,2023-10-15,30
ACT00433,O00332,Demo,R010,2024-08-09,45
ACT00434,O00527,Call,R005,2024-02-26,15
ACT00435,O00284,Email,R023,2023-05-16,30
ACT00436,O00150,Demo,R008,2024-11-23,60
ACT00437,O00502,Email,R019,2024-10-09,45
ACT00438,O00643,Meeting,R013,2024-04-07,15
ACT00439,O00649,Call,R013,2024-06-11,45
ACT00440,O00712,Demo,R015,2024-05-14,45
ACT00441,O00596,Call,R025,2023-04-06,60
ACT00442,O00651,Demo,R003,2024-07-01,60
ACT00443,O00224,Meeting,R007,2024-05-21,45
ACT00444,O00331,Demo,R011,2024-07-14,30
ACT00445,O00580,Meeting,R011,2024-11-29,15
ACT00446,O00048,Call,R021,2024-04-15,15
ACT00447,O00128,Email,,2024-04-12,15
ACT00448,O00439,Email,R023,2023-05-16,45
ACT00449,O00163,Demo,R003,2024-11-01,45
ACT00450,O00257,Call,R012,2024-11-11,30
ACT00451,O00054,Meeting,R021,2023-11-09,30
ACT00452,O00440,Call,R023,2023-04-08,15
ACT00453,O00219,Meeting,R003,2023-05-16,30
ACT00454,O00532,Meeting,R001,2023-01-09,45
ACT00455,O00124,Meeting,R023,2023-05-16,60
ACT00456,O00073,Email,R013,2023-04-02,15
ACT00457,O00106,Demo,R012,2023-11-03,30
ACT00458,O00392,Email,R021,2024-11-24,30
ACT00459,O00071,Call,R020,2024-10-27,30
ACT00460,O00451,Demo,R024,2023-08-07,30
ACT00461,O00422,Meeting,R007,2023-03-30,15
ACT00462,O00144,Call,R019,2024-01-29,45
ACT00463,O00440,Demo,R005,2023-09-11,45
ACT00464,O00661,Call,R008,2024-07-20,45
ACT00465,O00798,Call,R022,2023-11-05,30
ACT00466,O00531,Email,R024,2024-02-06,45
ACT00467,O00662,Call,R008,2024-05-21,60
ACT00468,O00116,Email,R016,2024-10-15,15
ACT00469,O00541,Call,R012,2023-11-21,30
ACT00470,O00397,Meeting,R012,2024-07-13,30
ACT00471,O00782,Meeting,R025,2023-03-16,15
ACT00472,O00602,Call,R001,2023-09-26,30
ACT00473,O00041,Call,R013,2024-06-02,45
ACT00474,O00644,Meeting,R014,2024-12-19,60
ACT00475,O00085,Email,R009,2023-03-27,45
ACT00476,O00081,Email,R005,2024-07-03,45
ACT00477,O00401,Call,R010,2024-12-16,60
ACT00478,O00748,Email,R002,2023-09-08,15
ACT00479,O00445,Call,R015,2024-09-18,15
ACT00480,O00317,Email,R004,2023-01-13,30
ACT00481,O00719,CAll,R006,2024-05-23,45
ACT00482,O00536,Demo,R006,2024-01-16,30
ACT00483,O00768,Demo,R024,2023-05-01,15
ACT00484,O00344,Meeting,R009,2024-06-20,15
ACT00485,O00270,Call,R016,2024-04-11,45
ACT00486,O00057,Meeting,R019,2023-06-20,45
ACT00487,O00162,Demo,R025,2023-04-16,15
ACT00488,O00234,Call,R002,2023-01-13,30
ACT00489,O00048,Meeting,R012,2024-01-28,30
ACT00490,O00184,Call,R018,2026-05-18,60
ACT00491,O00230,Demo,R008,2024-03-02,45
ACT00492,O00278,Call,R019,2024-01-17,15
ACT00493,O00515,Call,R006,2023-08-17,15
ACT00494,O00411,Call,R015,2023-10-17,45
ACT00495,O00336,Call,R018,2024-04-12,15
ACT00496,O00378,Email,R010,2024-07-31,45
ACT00497,O00758,Email,R015,2024-01-13,60
ACT00498,O00792,Email,R024,2024-07-13,30
ACT00499,O00155,Call,R014,2023-01-25,30
ACT00500,O00555,Demo,R021,2024-12-11,15
ACT00501,O00344,Call,R025,2024-11-04,60
ACT00502,O00756,Demo,R004,2023-07-30,30
ACT00503,O00430,Meeting,R002,2023-05-26,45
ACT00504,O00096,Call,R008,2024-06-16,60
ACT00505,O00718,Demo,R015,2023-03-28,15
ACT00506,O00518,Email,R021,2024-02-08,15
ACT00507,O00607,Call,R014,2024-11-09,30
ACT00508,O00243,Demo,R009,2023-11-19,60
ACT00509,O00718,Demo,R011,2024-04-08,45
ACT00510,O00240,Call,R007,2023-05-20,15
ACT00511,O00160,Call,R006,2024-04-05,60
ACT00512,O00322,Meeting,R004,2024-07-02,45
ACT00513,O00789,Email,R015,2023-11-12,60
ACT00514,O00272,Call,R003,2023-06-11,45
ACT00515,O00722,Call,R007,2023-12-02,30
ACT00516,O00094,Email,R012,2024-02-10,15
ACT00517,O00694,Demo,R009,2023-06-28,15
ACT00518,O00415,Meeting,R018,2024-07-17,30
ACT00519,O00097,Meeting,R004,2023-05-24,15
ACT00520,O00013,Call,R025,2023-08-16,30
ACT00521,O00203,Meeting,R012,2024-12-03,15
ACT00522,O00597,Demo,R003,2023-01-23,15
ACT00523,O00203,Meeting,R005,2023-04-05,45
ACT00524,O00126,Call,R015,2023-02-21,30
ACT00525,O00588,Meeting,R024,2026-05-23,60
ACT00526,O00031,Meeting,R022,2024-03-12,30
ACT00527,O00363,Email,R006,2023-10-09,45
ACT00528,O00457,Email,R002,2024-09-20,30
ACT00529,O00663,Demo,R016,2024-02-26,60
ACT00530,O00063,Call,R009,2024-01-28,30
ACT00531,O00430,Email,R021,2024-06-22,30
ACT00532,O00646,Call,R013,2024-12-31,45
ACT00533,O00492,Meeting,R012,2024-08-02,45
ACT00534,O00398,Demo,R006,2023-01-27,45
ACT00535,O00612,Email,R001,2023-10-15,15
ACT00536,O00484,Demo,R025,2024-08-21,30
ACT00537,O00164,Call,R008,2024-11-03,30
ACT00538,O00273,Call,R025,2023-08-13,60
ACT00539,O00364,Email,R006,2023-08-31,45
ACT00540,O00756,Demo,R019,2023-01-29,45
ACT00541,O00582,Email,R019,2023-07-12,60
